seed,method,total_error,fixed_rms_residual,runtime
42,adaptive_power_tempered,0.3813135375743764,22.697400667704496,146.54406018392183
42,halton,0.317659704700168,52.40459616501925,75.20411490579136
42,rad,0.3743995901563354,34.25964130665903,68.95377556188032
42,random,0.35579347738765194,34.667281903407314,72.42385108396411
123,adaptive_power_tempered,0.16155252899390277,13.35022530240595,153.23276038863696
123,halton,0.1837306384847416,16.694011889266893,113.59376327577047
123,rad,0.16401902613872446,24.83515967836728,70.57746709580533
123,random,0.18395226030077527,36.7075498210816,75.49305163300596
456,adaptive_power_tempered,0.20967598665908324,22.364983218532366,146.90176472091116
456,halton,0.19183238229027064,20.155418769197496,113.16693134815432
456,rad,0.27028347295795047,50.16403269057672,71.84817034075968
456,random,0.17387599062926395,25.334286052791924,73.44622045895085
789,adaptive_power_tempered,0.07763466036470903,20.09194335409446,144.76326960674487
789,halton,0.10507900858040797,43.057285209013266,110.87532871123403
789,rad,0.10035457299468653,34.24431122920273,71.84207979310304
789,random,0.09448977214823023,19.62685351517787,74.35636626486667
1011,adaptive_power_tempered,0.3045972069471517,17.04327091541098,141.83993402472697
1011,halton,0.3667233133988464,27.485531971810868,75.07121451222338
1011,rad,0.28626299884697254,24.821983389225768,67.83300463133492
1011,random,0.3423388484235528,14.44429576177776,71.63470119098201
2022,adaptive_power_tempered,0.30572353083261466,14.025491667100525,169.11952111194842
2022,halton,0.3149151954683754,32.91451960132393,74.61786675523035
2022,rad,0.3548642532519757,37.15321587958857,74.94025832880288
2022,random,0.2909219482055012,15.930877147215954,124.68514870107174
3033,adaptive_power_tempered,0.07447976376398452,18.402417131964707,149.5606333122123
3033,halton,0.06419516068380744,933.2093481636368,73.09590590652078
3033,rad,0.09620709151315805,52.51639438963323,70.72274781111628
3033,random,0.06434403171190917,26.210490402297058,72.69330083671957
4044,adaptive_power_tempered,0.3373109419648663,67.1028172727308,133.7204826369416
4044,halton,0.33069134170533954,80.69068000608094,74.04730222374201
4044,rad,0.33985399416454665,120.06881978421792,69.27286704373546
4044,random,0.26952623378588764,23.804074696739814,73.81714079203084
5055,adaptive_power_tempered,0.43457852486773085,24.423960493568732,153.15623327344656
5055,halton,0.5582403242474642,32.024465744958185,75.41179807833396
5055,rad,0.5666460582667414,50.958172568906946,72.25454313587397
5055,random,0.4958945083319035,21.137455445371803,74.06341486540623
6066,adaptive_power_tempered,0.25049029210321516,24.96840043951179,151.28483772976324
6066,halton,0.27961791698950555,34.02401782656628,73.2280386458151
6066,rad,0.2726801120302641,56.00874042420745,72.25475179334171
6066,random,0.32873941488588987,34.36044080884477,73.40260299690999
